currImg,x,y,cond
1,40.48579649,78.09693807,size
1,33.86754667,56.40543898,size
1,51.34660024,79.65122352,size
1,18.10682441,69.72039291,size
1,37.40415414,55.95351576,size
1,43.49559371,62.68593012,size
1,50.00646746,87.82257029,size
1,39.05900198,68.24421022,size
1,38.02795391,81.45442724,size
1,47.25306621,42.61708733,size
1,33.84146142,53.07758026,size
1,59.30262621,84.90013891,size
1,48.24906043,69.14930349,size
1,45.77448679,63.65323113,size
1,55.52142977,56.79447299,size
1,18.84886966,24.68411364,size
1,27.41712278,79.60930904,size
1,24.53284596,95.22087045,size
1,73.03650774,72.18680254,size
1,24.18267526,100,size
1,13.07384034,78.68029689,size
1,33.73366658,42.84819755,size
1,48.14205662,100,size
1,26.90433585,50.31154723,size
1,50.34238699,51.83631918,size
1,21.10514293,67.63567313,size
1,51.49378493,76.06547173,size
1,17.84141492,36.53507398,size
1,7.624994117,69.90952761,size
1,49.75497457,64.514863,size
1,68.11888257,60.1440115,color
1,65.27332725,44.37676427,color
1,32.72677373,66.42773939,color
1,54.28648129,61.08948851,color
1,50.63812547,44.19550745,color
1,42.94971707,24.20326304,color
1,25.38049928,33.99351326,color
1,50.77825594,44.11134238,color
1,50.69078396,58.07382994,color
1,47.58616855,49.89219117,color
1,29.72036067,48.95937205,color
1,21.71905614,57.74893989,color
1,58.54665475,41.69835333,color
1,33.68524176,62.31181403,color
1,57.48867775,43.28812888,color
1,52.28000795,33.23806655,color
1,28.07677862,71.62527708,color
1,47.66569261,70.26312706,color
1,62.29719459,39.65355958,color
1,25.75601052,67.83329435,color
1,65.43442217,41.75950635,color
1,65.98352031,40.47579965,color
1,34.4235091,60.24505655,color
1,54.54847856,68.39766882,color
1,37.4229922,63.87248583,color
1,46.76421575,48.56809744,color
1,29.45044011,89.00590048,color
1,62.76502802,79.23685574,color
1,26.98658285,53.19776993,color
1,64.46359294,45.22441728,color
1,55.72551415,45.44391152,pulse
1,55.06078779,44.49162778,pulse
1,61.96274339,52.98686882,pulse
1,67.44266141,39.40871727,pulse
1,72.6735072,34.13362361,pulse
1,65.42017094,41.58807105,pulse
1,71.78194173,84.29694364,pulse
1,61.2379316,35.38278335,pulse
1,62.10096095,56.13345055,pulse
1,63.63726093,49.55153639,pulse
1,75.23462536,45.95516462,pulse
1,39.02208156,55.73400136,pulse
1,58.47110022,78.28453444,pulse
1,100,35.61079025,pulse
1,55.57639611,22.15012018,pulse
1,54.81017812,40.28140541,pulse
1,48.33460406,26.52646948,pulse
1,88.09655761,33.72850209,pulse
1,29.03673232,51.428289,pulse
1,37.34957018,46.36460731,pulse
1,60.22931002,74.83462734,pulse
1,49.97231076,37.30078873,pulse
1,62.03047169,55.70345296,pulse
1,87.72633923,56.37431659,pulse
1,61.95445324,39.688068,pulse
1,55.82166173,71.15865083,pulse
1,70.80606822,59.78428882,pulse
1,75.26221189,35.3668022,pulse
1,79.17205913,37.62196722,pulse
1,49.81801732,51.48668734,pulse
2,38.33146598,26.93723753,size
2,71.2387595,43.16280812,size
2,65.87394766,9.126356138,size
2,75.61728885,72.1761478,size
2,34.55208076,32.39021506,size
2,48.11450337,31.73375371,size
2,69.43008774,45.39297901,size
2,65.04105531,42.11904015,size
2,37.55176811,52.970839,size
2,32.3278151,46.06364897,size
2,52.63998723,17.87738449,size
2,44.46560964,12.95135599,size
2,51.3212564,29.83384343,size
2,43.68192578,56.54735297,size
2,63.76111068,51.07383277,size
2,66.77871078,38.67818389,size
2,66.37276971,32.89962517,size
2,34.83791072,44.98471381,size
2,43.30328014,58.35827694,size
2,62.71790599,30.20682404,size
2,50.33871452,67.82487221,size
2,37.46780831,48.58120759,size
2,38.63349409,43.60713377,size
2,65.74745899,51.40731688,size
2,61.41883282,25.22407142,size
2,52.85161425,43.42714638,size
2,72.68575161,51.46397759,size
2,42.98628022,44.80771721,size
2,49.45009794,26.82549536,size
2,57.37623903,42.65441286,size
2,52.39145793,64.65539368,color
2,56.51503203,66.4305533,color
2,46.25667356,45.2479825,color
2,60.58360636,74.71325934,color
2,80.43909308,58.380318,color
2,77.93860323,46.50807288,color
2,56.39576662,35.22444137,color
2,53.41857493,43.1025619,color
2,58.87128664,56.95632889,color
2,52.54765322,97.29060671,color
2,52.53995911,53.18588389,color
2,60.05974864,47.72702008,color
2,59.12550921,67.72315279,color
2,65.16472907,37.14752478,color
2,72.22535199,54.11127326,color
2,74.8098218,54.56613198,color
2,91.71626045,55.4998475,color
2,64.28073792,69.67037844,color
2,67.50257156,80.69629327,color
2,60.94046689,68.89750209,color
2,52.42707866,48.24064179,color
2,68.23876915,61.33726347,color
2,69.75045538,52.96640674,color
2,70.41057002,75.82470211,color
2,76.43087221,46.8210235,color
2,91.41961485,100,color
2,58.74342116,62.98077205,color
2,54.00230715,20.72992388,color
2,60.60872826,62.44305438,color
2,85.57022393,52.94724682,color
2,67.0228761,61.18264596,pulse
2,25.51945849,39.46933022,pulse
2,61.02828987,60.96339207,pulse
2,53.71189445,39.24298792,pulse
2,51.7498048,57.99385585,pulse
2,46.07268129,28.48091583,pulse
2,49.56802451,48.64996883,pulse
2,61.25965903,49.42477894,pulse
2,48.11176316,61.17661935,pulse
2,39.51352713,42.17907579,pulse
2,74.4190447,60.05297769,pulse
2,44.13459005,66.34524239,pulse
2,37.78629461,45.80614088,pulse
2,34.29179833,45.61118971,pulse
2,42.74627723,60.75450436,pulse
2,44.08867982,26.04287173,pulse
2,36.81949666,51.80024498,pulse
2,42.29448356,64.61852335,pulse
2,69.54090827,52.34733752,pulse
2,26.6297131,39.59372241,pulse
2,70.72395417,58.47782523,pulse
2,37.64206398,60.52594767,pulse
2,67.15274061,58.7087834,pulse
2,55.63494878,63.490945,pulse
2,67.36390539,79.88637182,pulse
